"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260604",9.23248892524067,-0.065236040361396,0.439290205603768,-0.148503289008537,0.881945590482998,0.999962774395567
"ENSG00000230569",4.11321029857442,0.198424243086281,0.500651732927629,0.3963318810982,0.691860211053095,0.999962774395567
"ENSG00000249365",0.0384745499608036,0.229550098012733,3.18533771580458,0.0720646030321313,0.942550495644034,0.999962774395567
"ENSG00000261432",0.628722129362719,1.16728203603998,1.40014765049505,0.833684958602233,0.404458536296937,0.999962774395567
"ENSG00000206260",9.54933603329019,0.785842461490453,0.411656943060054,1.90897414640668,0.0562654268989774,0.999962774395567
"ENSG00000248631",0.933872977454665,1.82632272596809,1.27369830694868,1.43387387421696,0.151608258596237,0.999962774395567
"ENSG00000234986",0.634537823715262,1.96951621125973,1.36700116607879,1.44075678948339,0.149653404885214,0.999962774395567
"ENSG00000255814",0,NA,NA,NA,NA,NA
"ENSG00000089127",308.586810476989,-0.35931981000787,0.347453988728402,-1.03415077007144,0.301065684665164,0.999962774395567
"ENSG00000248846",0.0304789127520628,0.229550098012733,3.18533771580458,0.0720646030321313,0.942550495644034,0.999962774395567
"ENSG00000225960",0,NA,NA,NA,NA,NA
"ENSG00000249932",5.25698667749005,0.507115388726442,0.93726849705314,0.541056687940393,0.588468510390779,0.999962774395567
"ENSG00000232311",0.16019343499645,-0.31608008635949,2.67927470811154,-0.117972257716819,0.906089639489079,0.999962774395567
"ENSG00000213863",8.53853713467139,0.187537422558622,0.734155713928666,0.255446384194244,0.798378349339035,0.999962774395567
"ENSG00000260059",14.7406478940999,0.490199799311501,0.371813000117783,1.31840414174925,0.187368395062442,0.999962774395567
"ENSG00000079459",3585.58126143929,-0.36363313052721,0.224570511900062,-1.61923810677794,0.105396041857987,0.999962774395567
"ENSG00000253644",0.0286255202741761,-0.311452613224536,3.18533771580458,-0.0977769520886945,0.922109409241335,0.999962774395567
"ENSG00000230423",0,NA,NA,NA,NA,NA
"ENSG00000197548",392.773689251662,-0.0923635353585193,0.208579014272646,-0.442822762781808,0.657893937386357,0.999962774395567
"ENSG00000237772",0.153892502654682,1.07311983119639,2.76020871695896,0.388782132526084,0.697437319248983,0.999962774395567
"ENSG00000251391",2.29200849700771,0.457711782148485,0.88505580527566,0.517155844207955,0.605047373035958,0.999962774395567
"ENSG00000118514",11.7167562672755,0.45690969502854,0.449247997265117,1.01705449508971,0.309127505985972,0.999962774395567
"ENSG00000174083",0.958151849185693,1.08544117806656,0.982853721686362,1.10437713580021,0.269429574763298,0.999962774395567
"ENSG00000154265",526.61951773486,0.0475617375892785,0.321184649591492,0.148082225130533,0.882277877073392,0.999962774395567
"ENSG00000256149",0.216861346039553,-0.497574988009903,1.89642813297813,-0.262374818933168,0.793032484408967,0.999962774395567
"ENSG00000254084",0.11809548766385,0.615365342952182,2.87633691867149,0.213940633643296,0.830593352676177,0.999962774395567
"ENSG00000225532",1.18716858627459,0.422790120739272,0.770847088126386,0.548474693945983,0.583366000803435,0.999962774395567
"ENSG00000112667",90.6335867749103,-0.0562490270833781,0.264143506793443,-0.212948740501746,0.831366944729907,0.999962774395567
